"SUP_ID";"REG_ID";"YEAR";"SUPPLIER"
1;138;2024;"한국타이어 티스테이션 강릉MBC점"
2;138;2024;"타이어타운 TBX 옥계대리점"
3;138;2024;"프로미월드광명카"
4;138;2024;"강남세차장카센타"
5;138;2024;"하나원타이어"
6;138;2024;"영동기업"
7;138;2024;"티스테이션 유천택지점"
8;138;2024;"TP강릉공단점(강릉총판)"
9;138;2024;"TP입암점(인텍상사)"
10;138;2024;"TP강릉점"
11;138;2024;"강릉대리점"
12;138;2024;"(주)이수상사"
13;138;2024;"동구텍(주)"
14;138;2024;"금호타이어강릉내곡점"
15;138;2024;"하나원타이어"
16;138;2024;"타이어테크 강릉점"
17;138;2024;"타이어테크 노암점(대우카서비스)"
18;138;2024;"타이어테크 옥계점(대동카센타)"
19;138;2024;"타이어테크 강릉남부점(명륜카서비스)"
20;138;2024;"타이어테크 강릉총판"
21;138;2024;"애니카랜드 홍제점"
22;138;2024;"타이어테크 주문진점(애니카랜드 주문진점)"
23;152;2024;"한국타이어 고성대리점"
24;152;2024;"대림자동차공업사"
25;152;2024;"월드카센타"
26;152;2024;"강원카센타"
27;152;2024;"토성금강자동차"
28;152;2024;"타이어테크 백두산점(한국타이어 백두산대리점)"
29;139;2024;"한국타이어(대)강원상사"
30;139;2024;"자동차마을"
31;139;2024;"티스테이션부곡점"
32;139;2024;"맑은자동차정비공업사"
33;139;2024;"동해강원타이어"
34;139;2024;"동해대리점"
35;139;2024;"TP효가점(타이어플러스)"
36;139;2024;"TP부곡점"
37;139;2024;"부영대리점"
38;139;2024;"다온타이어"
39;139;2024;"동해강원타이어"
40;139;2024;"동해타이어(동해)"
41;139;2024;"영일카센터"
42;139;2024;"타이어테크 발한점(쌍둥이카센타)"
43;139;2024;"타이어테크 동해점"
44;139;2024;"타이어테크 북평점(북평자동차정비공업사)"
45;139;2024;"오토오아시스 로타리점"
46;139;2024;"형제자동차정비공업사"
47;142;2024;"이호상사"
48;142;2024;"T/M삼척점"
49;142;2024;"TP삼척동부점"
50;142;2024;"TP호산점(호산카센타)"
51;142;2024;"신동공업"
52;142;2024;"한마음카랜드"
53;142;2024;"금호효창대리점"
54;142;2024;"도계공업사"
55;141;2024;"속초대리점"
56;141;2024;"모닝카프라자정비공업사"
57;141;2024;"TP속초점"
58;141;2024;"TP조양점"
59;141;2024;"동경카클리닉"
60;141;2024;"삼각타이어"
61;141;2024;"금호타이어동명점"
62;141;2024;"대형카공업사"
63;141;2024;"슈퍼맨타이어"
64;141;2024;"타이어테크 속초교동점(프로미월드 대우 남부카)"
65;141;2024;"엠(M)타이어"
66;150;2024;"타이어타운 양구점"
67;150;2024;"양구대리점(남면)"
68;150;2024;"김상사카"
69;150;2024;"타이어테크 양구점"
70;150;2024;"타이어테크 양구중앙점"
71;153;2024;"한국타이어 티스테이션 양양점"
72;153;2024;"티스테이션 양양점"
73;153;2024;"금호타이어양양점"
74;153;2024;"목마카센타"
75;153;2024;"24시카타이어"
76;153;2024;"타이어테크 양양점(믿음카인테리어)"
77;145;2024;"한국타이어영월동국점"
78;145;2024;"쌍용타이어"
79;145;2024;"TP영월점"
80;137;2024;"한국타이어원주판매(주)"
81;137;2024;"대경타이어"
82;137;2024;"한국타이어 삼광점"
83;137;2024;"한국타이어티스테이션단구점"
84;137;2024;"강변타이어 할인매장"
85;137;2024;"한국타이어 혁신점"
86;137;2024;"한국타이어티비엑스(TBX) 문막점"
87;137;2024;"한국타이어원주대리점"
88;137;2024;"에이스타이어"
89;137;2024;"원주차사랑공업사"
90;137;2024;"티스테이션 원주태장점"
91;137;2024;"(주)베스트상사"
92;137;2024;"티스테이션 단계점"
93;137;2024;"티스테이션 북원주점"
94;137;2024;"TP관설점(오영상사)"
